amount_requested,birth_date,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,address_zip,email,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,home_phone_type,how_use_money,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood
500,1991-08-21,Approved,1,0,1,2010-10-16 14:06:05,3,1,6,138.48,500,3,84118,WanitaGVinyard@gmail.com,124001545,1 year or more,6 months or less,6 months or less,Semi-monthly,Mobile,Other,1560,614,574,600,656,561,1
500,1990-07-24,Approved,1,0,0,2010-10-17 13:01:53,6,1,13,77.39,500,6,84062,NatashaTTucker@yahoo.com,124000054,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,900,708,501,550,651,563,0
400,1980-09-13,Approved,1,620,1,2010-10-17 19:52:34,6,1,13,61.91,400,6,84119,AnneDCisneros@hotmail.com,124001545,1 year or more,7-12 months,1-2 years,Bi-weekly,Mobile,Other,1434,687,522,561,661,598,1
500,1976-09-10,Approved,0,785,0,2010-10-18 07:05:00,4,1,8,108.48,500,4,84405,CatalinaRRoderick@hotmail.com,124002971,1 year or more,3+ years,7-12 months,Bi-weekly,Mobile,Other,1600,616,560,552,634,591,0
300,1979-12-01,Approved,1,700,1,2010-10-19 10:58:40,4,1,8,65.09,300,4,84404,PhillipMSinn@aol.com,124002971,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,1360,681,603,654,659,636,1
400,1977-05-23,Approved,0,1600,1,2010-10-21 21:21:53,4,1,4,107.61,400,4,84020,BeckyRFleischer@aol.com,324079500,1 year or more,1-2 years,1-2 years,Monthly,Mobile,Other,4900,716,573,571,680,620,0
300,1960-01-06,Approved,1,865,1,2010-10-23 19:52:18,4,1,4,136.6,300,4,84404,DorisTGowen@hotmail.com,324377516,1 year or more,3+ years,1-2 years,Monthly,Mobile,Other,3200,486,580,627,659,627,1
300,1960-01-06,Approved,1,865,1,2010-10-23 19:52:18,4,1,4,136.6,300,4,84404,DorisTGowen@hotmail.com,324377516,1 year or more,3+ years,1-2 years,Monthly,Mobile,Other,3200,486,580,627,659,627,1
500,1959-10-17,Approved,1,1000,1,2010-10-24 16:05:38,2,1,4,129.35,500,2,84020,CarolynCSmith@aol.com,124000054,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,Other,2200,530,537,508,551,583,0
400,1961-04-20,Approved,1,169,1,2010-10-26 11:22:53,4,1,4,182.14,400,4,84116,MarieCMurr@aol.com,324079555,1 year or more,3+ years,1-2 years,Monthly,Home,Other,1200,645,532,560,680,594,0
500,1982-12-27,Approved,1,1265,1,2010-10-27 14:12:15,6,1,13,77.39,500,6,84095,DorothyJBoerger@yahoo.com,124001545,1 year or more,6 months or less,1-2 years,Bi-weekly,Mobile,Other,4160,586,527,525,637,592,0
400,1948-05-09,Approved,0,1175,1,2010-10-27 19:10:50,4,1,8,86.79,400,4,84319,NikkiTMcQueen@yahoo.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,5326,564,526,547,677,598,0
500,1989-03-31,Approved,0,0,1,2010-10-28 07:50:21,6,1,12,84.03,500,6,84118,LillieEMartin@gmail.com,122238585,1 year or more,3+ years,6 months or less,Semi-monthly,Home,Other,2200,663,501,501,623,531,0
500,1992-09-30,Approved,1,720,1,2010-10-28 18:50:55,4,1,17,51.17,500,4,84015,AracelySDavis@hotmail.com,324377613,1 year or more,6 months or less,6 months or less,Weekly,Mobile,Other,2400,523,501,501,501,501,0
500,1980-06-08,Approved,1,190,1,2010-10-30 11:53:51,6,1,13,77.39,500,6,84321,ZacharySScott@hotmail.com,124002971,1 year or more,7-12 months,1-2 years,Bi-weekly,Mobile,Other,1200,712,585,663,711,603,1
500,1980-06-08,Approved,1,190,1,2010-10-30 11:53:51,6,1,13,77.39,500,6,84321,ZacharySScott@hotmail.com,124002971,1 year or more,7-12 months,1-2 years,Bi-weekly,Mobile,Other,1200,712,585,663,711,603,1
400,1985-04-11,Approved,1,0,0,2010-10-31 21:00:03,4,1,17,40.93,400,4,84070,BuddyFMulhall@hotmail.com,61120000,4-12 months,3+ years,6 months or less,Weekly,Mobile,Other,1920,765,654,675,728,625,0
400,1988-06-06,Approved,1,300,1,2010-11-01 09:59:25,6,1,12,67.22,400,6,84720,AndrewTRodriguez@hotmail.com,124002971,1 year or more,6 months or less,3+ years,Semi-monthly,Mobile,Other,1160,734,614,642,693,583,0
500,1981-12-04,Approved,1,750,1,2010-11-01 11:39:56,6,1,13,77.39,500,6,84010,HermaRJackson@hotmail.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,9000,537,592,644,667,630,0
500,1982-05-29,Approved,1,650,1,2010-11-01 17:50:30,6,1,13,77.39,500,6,84124,PatriciaTJames@bing.com,31101169,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,Other,600,645,501,501,649,557,0
500,1973-05-13,Approved,1,635,1,2010-11-01 19:08:30,6,1,26,38.26,500,6,84501,TeresaJCayer@aol.com,124000054,1 year or more,3+ years,3+ years,Weekly,Mobile,Other,3600,557,525,538,648,599,0
800,1977-12-07,Approved,1,889,1,2010-11-02 20:17:01,6,1,12,84.03,500,6,84015,ScottJWest@yahoo.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,2580,602,559,606,652,606,1
800,1977-12-07,Approved,1,889,1,2010-11-02 20:17:01,6,1,12,84.03,500,6,84015,ScottJWest@yahoo.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,2580,602,559,606,652,606,1
300,1980-03-31,Approved,1,0,1,2010-11-03 08:03:44,6,1,13,46.43,300,6,84401,AnnJLuster@hotmail.com,124303065,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,429,616,501,555,622,587,0
500,1981-03-25,Approved,1,650,1,2010-11-03 16:58:14,6,1,12,84.03,500,6,84103,RebeccaRDelacruz@hotmail.com,124002971,1 year or more,1-2 years,3+ years,Semi-monthly,Mobile,Other,4500,716,524,540,664,580,1
800,1980-02-19,Approved,1,700,1,2010-11-04 09:23:19,8,1,13,77.39,500,6,84123,RamonaWRoller@gmail.com,211382850,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Other,4200,530,573,600,596,600,0
800,1976-05-16,Approved,0,0,1,2010-11-04 10:09:54,7,1,15,113.56,800,7,84088,JamesBOConnor@bing.com,122100024,1 year or more,1-2 years,3+ years,Bi-weekly,Mobile,Other,1200,733,518,550,614,575,0
500,1959-03-30,Approved,1,1100,1,2010-11-04 10:24:53,5,1,5,193.91,500,5,84103,LynwoodRGreer@yahoo.com,324079474,1 year or more,1-2 years,3+ years,Monthly,Home,Other,3007,771,570,560,680,611,0
700,1962-03-17,Approved,1,750,1,2010-11-04 22:34:54,5,1,10,129.04,700,5,84123,NancyHDougan@yahoo.com,324377516,4-12 months,3+ years,1-2 years,Bi-weekly,Mobile,Other,5260,645,556,556,669,604,0
